source_id,source_name,dest_id,dest_name,distance_km,mean_travel_time_min,std_travel_time_min,hod,is_peak_morning,is_peak_evening,is_off_peak,is_monsoon,quarter,speed_proxy,src_it,dst_it,src_commercial,src_residential,src_industrial,dst_commercial,dst_residential,dst_industrial,hod_sin,hod_cos
10,BTM Layout,6,Hebbal,22.96,52.4,11.36,20,0,1,0,0,1,26.2901,0,0,0,1,0,0,1,0,-0.866025,0.5
4,Koramangala,10,BTM Layout,9.75,14.95,6.12,14,0,0,1,0,1,39.1304,0,0,1,0,0,0,1,0,-0.5,-0.866025
15,Banashankari,10,BTM Layout,8.17,35.92,9.93,8,1,0,0,0,1,13.647,0,0,0,1,0,0,1,0,0.866025,-0.5
12,Bannerghatta Rd,14,MG Road,10.39,51.8,14.08,9,1,0,0,0,1,12.0347,0,0,0,1,0,1,0,0,0.707107,-0.707107
2,Yeshwanthpur,15,Banashankari,14.56,49.04,8.86,17,0,1,0,0,1,17.814,0,0,0,0,1,0,1,0,-0.965926,-0.258819
8,Jayanagar,3,Yelahanka,20.58,33.44,7.25,23,0,0,1,0,1,36.9258,0,0,0,1,0,0,1,0,-0.258819,0.965926
11,HSR Layout,5,Indiranagar,9.5,39.35,10.46,16,0,0,1,0,1,14.4854,0,0,1,0,0,1,0,0,-0.866025,-0.5
14,MG Road,6,Hebbal,9.25,29.12,7.59,14,0,0,1,0,1,19.0591,0,0,1,0,0,0,1,0,-0.5,-0.866025
2,Yeshwanthpur,4,Koramangala,17.91,74.9,15.82,18,0,1,0,0,1,14.3471,0,0,0,0,1,1,0,0,-1.0,-0.0
15,Banashankari,5,Indiranagar,15.3,29.67,6.86,1,0,0,1,0,1,30.9403,0,0,0,1,0,1,0,0,0.258819,0.965926
8,Jayanagar,3,Yelahanka,20.58,45.63,10.68,8,1,0,0,0,1,27.0611,0,0,0,1,0,0,1,0,0.866025,-0.5
10,BTM Layout,2,Yeshwanthpur,22.24,36.21,7.43,23,0,0,1,0,1,36.8517,0,0,0,1,0,0,0,1,-0.258819,0.965926
14,MG Road,1,Marathahalli,11.03,31.78,9.11,14,0,0,1,0,1,20.8244,0,1,1,0,0,0,0,0,-0.5,-0.866025
4,Koramangala,15,Banashankari,11.89,41.4,12.57,8,1,0,0,0,1,17.2319,0,0,1,0,0,0,1,0,0.866025,-0.5
13,Sarjapur Road,0,Whitefield,14.97,27.83,10.94,19,0,1,0,0,1,32.2745,1,1,0,0,0,0,0,0,-0.965926,0.258819
3,Yelahanka,1,Marathahalli,27.38,53.05,11.16,16,0,0,1,0,1,30.967,0,1,0,1,0,0,0,0,-0.866025,-0.5
7,Electronic City,0,Whitefield,20.22,28.6,6.48,1,0,0,1,0,1,42.4196,1,1,0,0,0,0,0,0,0.258819,0.965926
14,MG Road,6,Hebbal,9.25,12.05,4.05,4,0,0,1,0,1,46.0581,0,0,1,0,0,0,1,0,0.866025,0.5
15,Banashankari,3,Yelahanka,24.11,56.93,8.63,14,0,0,1,0,1,25.4102,0,0,0,1,0,0,1,0,-0.5,-0.866025
0,Whitefield,1,Marathahalli,7.3,14.71,6.5,4,0,0,1,0,1,29.7757,1,1,0,0,0,0,0,0,0.866025,0.5
0,Whitefield,7,Electronic City,23.75,47.36,14.35,21,0,0,1,0,1,30.0887,1,1,0,0,0,0,0,0,-0.707107,0.707107
4,Koramangala,0,Whitefield,17.25,43.06,11.22,13,0,0,1,0,1,24.0362,0,1,1,0,0,0,0,0,-0.258819,-0.965926
3,Yelahanka,9,Rajajinagar,18.04,53.78,11.78,18,0,1,0,0,1,20.1264,0,0,0,1,0,0,1,0,-1.0,-0.0
14,MG Road,12,Bannerghatta Rd,10.26,37.07,9.07,14,0,0,1,0,1,16.6064,0,0,1,0,0,0,1,0,-0.5,-0.866025
6,Hebbal,5,Indiranagar,11.32,33.03,9.09,8,1,0,0,0,1,20.5631,0,0,0,1,0,1,0,0,0.866025,-0.5
7,Electronic City,13,Sarjapur Road,10.44,21.24,7.62,3,0,0,1,0,1,29.4915,1,1,0,0,0,0,0,0,0.707107,0.707107
4,Koramangala,11,HSR Layout,4.62,13.54,7.47,8,1,0,0,0,1,20.4727,0,0,1,0,0,1,0,0,0.866025,-0.5
3,Yelahanka,5,Indiranagar,19.32,61.07,14.17,18,0,1,0,0,1,18.9815,0,0,0,1,0,1,0,0,-1.0,-0.0
0,Whitefield,2,Yeshwanthpur,29.07,64.42,14.37,12,0,0,1,0,1,27.0754,1,0,0,0,0,0,0,1,0.0,-1.0
2,Yeshwanthpur,5,Indiranagar,14.47,38.63,9.18,21,0,0,1,0,1,22.4748,0,0,0,0,1,1,0,0,-0.707107,0.707107
2,Yeshwanthpur,15,Banashankari,14.56,44.79,9.03,12,0,0,1,0,1,19.5044,0,0,0,0,1,0,1,0,0.0,-1.0
0,Whitefield,14,MG Road,19.37,65.0,19.29,17,0,1,0,0,1,17.88,1,0,0,0,0,1,0,0,-0.965926,-0.258819
7,Electronic City,9,Rajajinagar,23.39,33.46,8.73,5,0,0,1,0,1,41.9426,1,0,0,0,0,0,1,0,0.965926,0.258819
14,MG Road,9,Rajajinagar,7.81,32.35,7.6,21,0,0,1,0,1,14.4853,0,0,1,0,0,0,1,0,-0.707107,0.707107
15,Banashankari,2,Yeshwanthpur,15.79,38.63,10.79,7,1,0,0,0,1,24.525,0,0,0,1,0,0,0,1,0.965926,-0.258819
4,Koramangala,14,MG Road,6.95,14.27,5.16,23,0,0,1,0,1,29.2221,0,0,1,0,0,1,0,0,-0.258819,0.965926
8,Jayanagar,6,Hebbal,14.98,18.15,5.45,3,0,0,1,0,1,49.5207,0,0,0,1,0,0,1,0,0.707107,0.707107
13,Sarjapur Road,14,MG Road,15.42,39.12,11.59,14,0,0,1,0,1,23.6503,1,0,0,0,0,1,0,0,-0.5,-0.866025
13,Sarjapur Road,8,Jayanagar,14.54,36.15,8.81,23,0,0,1,0,1,24.1328,1,0,0,0,0,0,1,0,-0.258819,0.965926
11,HSR Layout,15,Banashankari,11.57,51.98,10.54,12,0,0,1,0,1,13.3551,0,0,1,0,0,0,1,0,0.0,-1.0
9,Rajajinagar,15,Banashankari,10.29,18.31,5.18,6,0,0,1,0,1,33.7193,0,0,0,1,0,0,1,0,1.0,0.0
0,Whitefield,4,Koramangala,16.94,64.02,21.6,18,0,1,0,0,1,15.8763,1,0,0,0,0,1,0,0,-1.0,-0.0
15,Banashankari,1,Marathahalli,22.32,34.54,4.78,4,0,0,1,0,1,38.7724,0,1,0,1,0,0,0,0,0.866025,0.5
9,Rajajinagar,0,Whitefield,24.94,57.58,8.22,21,0,0,1,0,1,25.9882,0,1,0,1,0,0,0,0,-0.707107,0.707107
7,Electronic City,14,MG Road,19.98,15.83,6.36,1,0,0,1,0,1,75.7296,1,0,0,0,0,1,0,0,0.258819,0.965926
11,HSR Layout,0,Whitefield,16.32,22.44,7.15,2,0,0,1,0,1,43.6364,0,1,1,0,0,0,0,0,0.5,0.866025
7,Electronic City,4,Koramangala,14.43,5.37,4.68,2,0,0,1,0,1,161.2291,1,0,0,0,0,1,0,0,0.5,0.866025
3,Yelahanka,6,Hebbal,9.11,24.75,8.6,16,0,0,1,0,1,22.0848,0,0,0,1,0,0,1,0,-0.866025,-0.5
1,Marathahalli,14,MG Road,13.62,30.45,8.64,14,0,0,1,0,1,26.8374,1,0,0,0,0,1,0,0,-0.5,-0.866025
7,Electronic City,2,Yeshwanthpur,28.32,36.01,7.95,6,0,0,1,0,1,47.1869,1,0,0,0,0,0,0,1,1.0,0.0
9,Rajajinagar,10,BTM Layout,13.47,53.56,12.47,12,0,0,1,0,1,15.0896,0,0,0,1,0,0,1,0,0.0,-1.0
3,Yelahanka,12,Bannerghatta Rd,27.11,85.48,13.58,11,0,0,1,0,1,19.029,0,0,0,1,0,0,1,0,0.258819,-0.965926
0,Whitefield,12,Bannerghatta Rd,22.95,41.37,10.6,4,0,0,1,0,1,33.285,1,0,0,0,0,0,1,0,0.866025,0.5
3,Yelahanka,1,Marathahalli,27.38,44.84,9.19,21,0,0,1,0,1,36.6369,0,1,0,1,0,0,0,0,-0.707107,0.707107
8,Jayanagar,11,HSR Layout,8.12,14.9,8.4,1,0,0,1,0,1,32.698,0,0,0,1,0,1,0,0,0.258819,0.965926
3,Yelahanka,5,Indiranagar,19.32,49.26,9.34,13,0,0,1,0,1,23.5323,0,0,0,1,0,1,0,0,-0.258819,-0.965926
12,Bannerghatta Rd,14,MG Road,10.39,43.49,9.66,14,0,0,1,0,1,14.3343,0,0,0,1,0,1,0,0,-0.5,-0.866025
0,Whitefield,7,Electronic City,23.75,65.18,20.45,16,0,0,1,0,1,21.8625,1,1,0,0,0,0,0,0,-0.866025,-0.5
7,Electronic City,12,Bannerghatta Rd,16.58,10.55,8.77,8,1,0,0,0,1,94.2938,1,0,0,0,0,0,1,0,0.866025,-0.5
12,Bannerghatta Rd,9,Rajajinagar,15.02,65.97,16.01,8,1,0,0,0,1,13.6608,0,0,0,1,0,0,1,0,0.866025,-0.5
5,Indiranagar,11,HSR Layout,9.51,20.57,6.87,6,0,0,1,0,1,27.7394,0,0,1,0,0,1,0,0,1.0,0.0
14,MG Road,10,BTM Layout,13.32,17.9,6.39,23,0,0,1,0,1,44.648,0,0,1,0,0,0,1,0,-0.258819,0.965926
1,Marathahalli,3,Yelahanka,27.36,38.99,9.87,6,0,0,1,0,1,42.1031,1,0,0,0,0,0,1,0,1.0,0.0
6,Hebbal,9,Rajajinagar,10.78,21.21,6.83,8,1,0,0,0,1,30.495,0,0,0,1,0,0,1,0,0.866025,-0.5
6,Hebbal,3,Yelahanka,9.43,13.24,5.03,11,0,0,1,0,1,42.7341,0,0,0,1,0,0,1,0,0.258819,-0.965926
10,BTM Layout,14,MG Road,13.9,30.36,8.62,13,0,0,1,0,1,27.4704,0,0,0,1,0,1,0,0,-0.258819,-0.965926
10,BTM Layout,5,Indiranagar,11.38,45.87,11.98,17,0,1,0,0,1,14.8855,0,0,0,1,0,1,0,0,-0.965926,-0.258819
2,Yeshwanthpur,13,Sarjapur Road,26.27,38.6,8.31,4,0,0,1,0,1,40.8342,0,1,0,0,1,0,0,0,0.866025,0.5
14,MG Road,8,Jayanagar,8.97,18.83,5.75,11,0,0,1,0,1,28.582,0,0,1,0,0,0,1,0,0.258819,-0.965926
7,Electronic City,10,BTM Layout,17.52,6.81,5.95,7,1,0,0,0,1,154.3612,1,0,0,0,0,0,1,0,0.965926,-0.258819
12,Bannerghatta Rd,10,BTM Layout,7.2,18.98,7.28,10,1,0,0,0,1,22.7608,0,0,0,1,0,0,1,0,0.5,-0.866025
6,Hebbal,3,Yelahanka,9.43,9.74,4.48,6,0,0,1,0,1,58.0903,0,0,0,1,0,0,1,0,1.0,0.0
14,MG Road,9,Rajajinagar,7.81,33.08,8.75,11,0,0,1,0,1,14.1657,0,0,1,0,0,0,1,0,0.258819,-0.965926
15,Banashankari,7,Electronic City,20.02,39.27,7.65,21,0,0,1,0,1,30.5882,0,1,0,1,0,0,0,0,-0.707107,0.707107
10,BTM Layout,9,Rajajinagar,17.31,62.27,12.34,17,0,1,0,0,1,16.679,0,0,0,1,0,0,1,0,-0.965926,-0.258819
5,Indiranagar,9,Rajajinagar,11.6,50.9,11.68,10,1,0,0,0,1,13.6739,0,0,1,0,0,0,1,0,0.5,-0.866025
14,MG Road,0,Whitefield,17.51,50.23,11.76,12,0,0,1,0,1,20.9158,0,1,1,0,0,0,0,0,0.0,-1.0
9,Rajajinagar,0,Whitefield,24.94,53.78,11.49,6,0,0,1,0,1,27.8245,0,1,0,1,0,0,0,0,1.0,0.0
2,Yeshwanthpur,5,Indiranagar,14.47,41.54,8.44,16,0,0,1,0,1,20.9003,0,0,0,0,1,1,0,0,-0.866025,-0.5
4,Koramangala,3,Yelahanka,22.49,64.17,13.38,20,0,1,0,0,1,21.0285,0,0,1,0,0,0,1,0,-0.866025,0.5
